Column12;Column2;Column3;Column4
G.08.a.01;Descriptor;Biology;Knowledge of concepts and principles of living organisms including their structure, function, growth, origin, evolution, distribution and classification and their interdependencies and interactions with each other and the environment, as well as safe and ethical handling methods and techniques.
G.08.a.02;Descriptor;Chemistry;Knowledge of the composition, structure and properties of chemical substances including their interactions, transformations and use, as well as the production techniques, risk factors and disposal methods.
G.08.a.03;Descriptor;Geoscience;Knowledge of concepts, principles and methods for analyzing the Earth's materials, structures and natural systems to understand their composition, the processes and their evolution over time, as well as interactions between the land, oceans and atmosphere.
G.08.a.05;Descriptor;Physics;Knowledge of concepts, principles, fundamental properties and laws that govern space, time, energy and matter and of equipment and methods required to study and apply the interactions of objects including atoms, particles and celestial bodies.
G.09;Sub-Category;Socioeconomic Systems;Organized set of principles and practices relating to socioeconomics domains.
G.09.a;Similarity Group;Socioeconomic Systems;
G.09.a.01;Descriptor;Arts;Knowledge of concepts, principles and techniques of artistic expression required to create, compose or produce visual, applied, performing or literary art.
G.09.a.02;Descriptor;Economics;Knowledge of concepts and principles of the production, distribution and consumption of goods and services and the methods of analysis including simulation and forecasting techniques.
G.09.a.03;Descriptor;Humanities;Knowledge of concepts, principles and methods for understanding human social interaction and structures, and events throughout time and their effects on civilizations, cultures and environment.
G.09.a.04;Descriptor;Library, Conservation and Heritage;Knowledge of concepts, principles, techniques and tools in the classification, storage, retrieval, display and management of documentation and records in various media, museum artifacts or works of fine art.
G.09.a.05;Descriptor;Theology and Philosophy;Knowledge of concepts and principles of religious and philosophical systems, and of fundamental questioning of existence, reason, values, ethics, ways of thinking, customs, practices and their impact on individuals, human culture and society.
G.10;Sub-Category;Technology, Electrical, Material and Mechanical;Organized set of principles and practices relating to technology, electrical, material and mechanical.
G.10.a;Similarity Group;The Technology, Electrical, Material and Mechanical;
